filename,mfcc_start,chroma_start,tempo_start,mfcc_end,chroma_end,tempo_end,uri
agenda - che.mp3,"-234.32562255859375,114.7574691772461,32.28800582885742,33.054378509521484,24.125566482543945","0.1833229511976242,0.31793156266212463,0.5630194544792175,0.5432698130607605,0.30886363983154297,0.3068077862262726,0.3768285810947418,0.7215284705162048,0.5875925421714783,0.34875914454460144,0.21653787791728973,0.15386448800563812",143.5546875,"-140.80853271484375,93.60152435302734,20.580766677856445,12.773612022399902,7.251498222351074","0.2871919870376587,0.3840765655040741,0.5609504580497742,0.4723604917526245,0.3073391318321228,0.3706561326980591,0.43907973170280457,0.730882465839386,0.5207640528678894,0.34814271330833435,0.32487359642982483,0.2668378949165344",143.5546875,spotify:track:3nDjCWmn3FHTI9q8y2twLS
aint love - blackbear.mp3,"-205.32630920410156,208.33920288085938,17.201866149902344,11.56622314453125,18.319005966186523","0.4759296178817749,0.33442220091819763,0.5605259537696838,0.36701393127441406,0.43341735005378723,0.5361602306365967,0.4168267250061035,0.42152294516563416,0.41297873854637146,0.5001055002212524,0.43907228112220764,0.34560975432395935",129.1992188,"-361.67657470703125,40.508392333984375,8.635370254516602,0.0748923122882843,2.2488853931427","0.3097797632217407,0.29651790857315063,0.3196912705898285,0.31484925746917725,0.3486964702606201,0.5219930410385132,0.4148763418197632,0.4021323621273041,0.3594745993614197,0.39443066716194153,0.31990596652030945,0.3054206967353821",198.7680288,
aint trippin - blackbear.mp3,"-273.0131530761719,64.69889068603516,8.657509803771973,10.301051139831543,-2.148761034011841","0.21820814907550812,0.16317173838615417,0.1727464199066162,0.21347330510616302,0.12385742366313934,0.1590368151664734,0.4070102870464325,0.1460852473974228,0.1502683013677597,0.1406339854001999,0.3169183135032654,0.5362898111343384",143.5546875,"-477.813232421875,74.4292984008789,18.298389434814453,22.99424171447754,17.581119537353516","0.4395970106124878,0.547700047492981,0.4073556363582611,0.4250454306602478,0.489545077085495,0.5177910327911377,0.6441932916641235,0.4662325382232666,0.38079187273979187,0.37303608655929565,0.44237712025642395,0.4300176203250885",107.6660156,
airplane thoughts - dhruv.mp3,"-236.93003845214844,130.42237854003906,11.26357364654541,2.809687614440918,1.176467776298523","0.28071290254592896,0.22945937514305115,0.32715654373168945,0.2383408099412918,0.32736557722091675,0.40505358576774597,0.326770156621933,0.43499910831451416,0.3203931748867035,0.33304059505462646,0.21658627688884735,0.16043618321418762",80.74951172,"-409.2914123535156,110.07003784179688,2.5424883365631104,0.23022985458374023,-6.791612148284912","0.34585443139076233,0.3133816719055176,0.5039198398590088,0.3687717318534851,0.35456228256225586,0.3373865485191345,0.35051533579826355,0.6808452606201172,0.5062522888183594,0.5793034434318542,0.31182733178138733,0.2678438425064087",117.4538352,spotify:track:4t5joZkdlXlvzLXJbkgppJ
all dogs go to heaven - outro - glaive.mp3,"-268.2470703125,235.68333435058594,-60.957359313964844,-6.727797985076904,9.163919448852539","0.24056676030158997,0.22723795473575592,0.37846529483795166,0.6493821144104004,0.32255861163139343,0.2065654844045639,0.18024370074272156,0.6302125453948975,0.25632980465888977,0.146718367934227,0.4778217077255249,0.241608127951622",161.4990234,"-1131.37109375,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",117.4538352,spotify:track:3jjRnMBYlygg5GzqtiMjgr
all I want is you - Rebzyyx.mp3,"3.2932372093200684,87.41584014892578,8.730925559997559,18.50752830505371,-6.186963081359863","0.3408311903476715,0.43793341517448425,0.4758343994617462,0.34413254261016846,0.34525448083877563,0.45409703254699707,0.4038991928100586,0.3339556157588959,0.31709161400794983,0.3978300988674164,0.44942283630371094,0.3520130515098572",123.046875,"-206.3115997314453,53.232826232910156,13.08850383758545,18.65744972229004,2.7761831283569336","0.4385336935520172,0.40649810433387756,0.4641667902469635,0.44276973605155945,0.5052664875984192,0.3281901478767395,0.35821112990379333,0.5241813063621521,0.412541002035141,0.5184356570243835,0.44272831082344055,0.5906689167022705",143.5546875,spotify:track:7lOvJBqH38ZY59eLU7bioq
all my ghosts - Lizzy McAlpine.mp3,"-407.8810119628906,119.59877014160156,-7.288687705993652,17.318178176879883,8.933536529541016","0.6246234774589539,0.5345128774642944,0.5077515840530396,0.49738427996635437,0.5037019848823547,0.49277085065841675,0.5345128774642944,0.5943821668624878,0.5293734073638916,0.5222697854042053,0.5472453832626343,0.6332292556762695",135.9991776,"-383.9605712890625,135.06671142578125,-9.56042194366455,11.481922149658203,3.321140766143799","0.6138477921485901,0.5609967112541199,0.5286217927932739,0.5009634494781494,0.4562905728816986,0.4767567813396454,0.5027727484703064,0.5704945921897888,0.6334905624389648,0.6399106979370117,0.6129672527313232,0.5950984358787537",129.1992188,spotify:track:46BHP7nFOrGQPLW8mCxzZr
all night feat Trippie Redd - S-X.mp3,"-192.1298065185547,160.99942016601562,-24.376461029052734,11.013527870178223,-0.4554494321346283","0.7194223999977112,0.40289661288261414,0.3458729088306427,0.17371822893619537,0.32231220602989197,0.1131308302283287,0.11689653247594833,0.398596853017807,0.23642444610595703,0.22820843756198883,0.2135830521583557,0.29685065150260925",129.1992188,"-247.50308227539062,62.363067626953125,-25.987943649291992,-7.314793109893799,-0.8057568073272705","0.4016925096511841,0.2499040961265564,0.5127453804016113,0.25487247109413147,0.43904080986976624,0.44116052985191345,0.3741747736930847,0.31206706166267395,0.23261554539203644,0.2843818664550781,0.13962140679359436,0.230797678232193",123.046875,
all the kids are depressed - Jeremy Zucker.mp3,"-413.32208251953125,71.11307525634766,15.174190521240234,37.41844177246094,20.233966827392578","0.49853307008743286,0.5038983225822449,0.5012503862380981,0.5490624308586121,0.5817146301269531,0.5737501978874207,0.5537384152412415,0.5471169948577881,0.5971724987030029,0.6278387904167175,0.5847832560539246,0.5370633006095886",123.046875,"-257.911376953125,158.26243591308594,-36.892024993896484,33.76665496826172,2.9078502655029297","0.6872332692146301,0.6812084913253784,0.6761414408683777,0.6920310258865356,0.7187816500663757,0.7847922444343567,0.7072489857673645,0.6514142751693726,0.5709632635116577,0.5540011525154114,0.5843477845191956,0.6387551426887512",129.1992188,spotify:track:75ls0gurX68lUmMjE7QcsE
alone in a room full of people - blackbear.mp3,"-93.06873321533203,90.97855377197266,-19.0677433013916,3.5245161056518555,5.87755823135376","0.2626075744628906,0.28586673736572266,0.2728956639766693,0.5523483157157898,0.4736582636833191,0.2248104065656662,0.21437005698680878,0.22735556960105896,0.39552879333496094,0.29590165615081787,0.2953059673309326,0.48398199677467346",161.4990234,"-180.8418426513672,72.10075378417969,-8.468429565429688,6.573150634765625,2.71545147895813","0.3832627534866333,0.44802990555763245,0.42013320326805115,0.5552467703819275,0.6153213977813721,0.44835537672042847,0.44120708107948303,0.40952804684638977,0.5228251814842224,0.4132530689239502,0.38750559091567993,0.41695815324783325",151.9990809,spotify:track:6D7Y1ifRZYfqaTvffJ2zGT
always ill care - Jeremy Zucker.mp3,"-320.4237365722656,149.50030517578125,27.08244514465332,-6.710800647735596,-17.845701217651367","0.15990307927131653,0.5717931985855103,0.1633012741804123,0.056920938193798065,0.03288034349679947,0.0742204412817955,0.40869423747062683,0.11079821735620499,0.08415587991476059,0.09006708860397339,0.39661213755607605,0.2039230763912201",103.359375,"-461.046875,148.15415954589844,57.01197814941406,22.078096389770508,8.145963668823242","0.44584959745407104,0.5907962918281555,0.29273250699043274,0.2252158671617508,0.1466808021068573,0.34249988198280334,0.14448073506355286,0.176921546459198,0.376263827085495,0.23695328831672668,0.21246664226055145,0.30264267325401306",129.1992188,
am i the only one - mj apanay.mp3,"-87.69139862060547,79.03451538085938,-31.937082290649414,18.209228515625,-1.5663436651229858","0.3556448519229889,0.7599698305130005,0.3950726091861725,0.5065465569496155,0.3374056816101074,0.3007113039493561,0.41182947158813477,0.3628622591495514,0.4233091473579407,0.3499419093132019,0.31092506647109985,0.36972102522850037",95.703125,"-63.407230377197266,32.113304138183594,4.745590686798096,34.173301696777344,4.041594982147217","0.32418742775917053,0.39286088943481445,0.4259934425354004,0.4279940724372864,0.2878345251083374,0.3024944067001343,0.3522213101387024,0.3826298117637634,0.5448867678642273,0.42241960763931274,0.31474319100379944,0.3342435956001282",129.1992188,spotify:track:2GLQX8pvF8XOub6eH15FU5
among the stars - Arya.mp3,"-468.7137451171875,129.21514892578125,10.458633422851562,28.20347023010254,5.0573883056640625","0.7276427149772644,0.31062713265419006,0.13665179908275604,0.5340136885643005,0.19467133283615112,0.012376134283840656,0.005966841708868742,0.0521906241774559,0.215060293674469,0.10100295394659042,0.041313931345939636,0.17466822266578674",89.10290948,"-571.5667114257812,180.80325317382812,38.521034240722656,-10.37086009979248,-6.105697154998779","0.34889790415763855,0.2465103715658188,0.20696794986724854,0.5401853322982788,0.13830797374248505,0.0197930745780468,0.018248897045850754,0.15981051325798035,0.5392826199531555,0.2957437336444855,0.5518994927406311,0.21644547581672668",112.3471467,spotify:track:36vuRHXbvbWFzn8wvK2AME
as long as i have you - Foster.mp3,"-239.46820068359375,104.66800689697266,-3.3851490020751953,4.975311279296875,-2.6823039054870605","0.410759836435318,0.21729591488838196,0.14761421084403992,0.25330421328544617,0.13933272659778595,0.3240019977092743,0.11507415026426315,0.11527944356203079,0.17859314382076263,0.08138641715049744,0.11694932729005814,0.15256367623806",151.9990809,"-345.1225280761719,166.83523559570312,-32.771881103515625,-16.022632598876953,14.57287311553955","0.2916530668735504,0.2133895456790924,0.28190210461616516,0.6929047703742981,0.23011592030525208,0.2625114321708679,0.2656816840171814,0.22936321794986725,0.3090275824069977,0.17040905356407166,0.23479190468788147,0.19067494571208954",129.1992188,spotify:track:01TtrmZEiYitpwDUcPQ6dj
as long as you care - Ruel.mp3,"-338.5489501953125,105.45265197753906,0.6619929671287537,11.423826217651367,5.868600368499756","0.3113113045692444,0.307841956615448,0.39801502227783203,0.5102176666259766,0.3442291021347046,0.19904403388500214,0.2671041190624237,0.5464246273040771,0.42552223801612854,0.3669987916946411,0.2717650830745697,0.23435397446155548",151.9990809,"-1131.37109375,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",117.4538352,spotify:track:0GQqQ7dA7B4mcEktSZaOUp
astral step - shadowraze.mp3,"-332.339111328125,47.837913513183594,-82.35148620605469,17.69668197631836,-41.68301010131836","0.5405118465423584,0.6797328591346741,0.5374265909194946,0.27969497442245483,0.2076178789138794,0.2740134000778198,0.37209412455558777,0.2996790111064911,0.32998955249786377,0.45013847947120667,0.5434079170227051,0.5762213468551636",95.703125,"-168.94654846191406,84.09891510009766,27.420787811279297,47.921051025390625,17.6195068359375","0.3461464047431946,0.4150961935520172,0.45955315232276917,0.4684622287750244,0.5015637874603271,0.5388621091842651,0.549161434173584,0.5366836190223694,0.6838662624359131,0.7937558889389038,0.6265986561775208,0.46147915720939636",143.5546875,spotify:track:47iHvzU9Po0e6raFlgLBOF
