filename,mfcc_start,chroma_start,tempo_start,mfcc_end,chroma_end,tempo_end,uri
i cant breathe - Bea Miller.mp3,"-561.9483032226562,176.70729064941406,16.02069664001465,-7.623153209686279,16.867570877075195","0.18336598575115204,0.13108325004577637,0.13066644966602325,0.4015805721282959,0.13443849980831146,0.11098946630954742,0.40078192949295044,0.16319409012794495,0.20164957642555237,0.07476170361042023,0.16901874542236328,0.4059298038482666",83.35433468,"-988.9981689453125,40.51655578613281,17.72956657409668,4.354475975036621,0.7744909524917603","0.21056035161018372,0.06998301297426224,0.026319725438952446,0.03779720515012741,0.024564076215028763,0.035180483013391495,0.10829298198223114,0.051784686744213104,0.020214691758155823,0.057140324264764786,0.21149560809135437,0.2596432566642761",151.9990809,
i cant help it - JVKE.mp3,"-304.4454650878906,106.68240356445312,33.351112365722656,16.867074966430664,13.364466667175293","0.22416265308856964,0.4191184639930725,0.24698273837566376,0.4462401568889618,0.2099941223859787,0.2874724268913269,0.2254575937986374,0.1737550050020218,0.29467231035232544,0.19109003245830536,0.2788445055484772,0.13923154771327972",129.1992188,"-25.188369750976562,91.63444519042969,-34.08637237548828,-23.195659637451172,-22.38881492614746","0.30637893080711365,0.47966301441192627,0.21748366951942444,0.46239519119262695,0.27433672547340393,0.35989007353782654,0.28489598631858826,0.2135138213634491,0.18813906610012054,0.16910822689533234,0.36445561051368713,0.15863941609859467",151.9990809,
i dont care - bonus track - young friend.mp3,"-349.6605529785156,168.4272918701172,41.320556640625,27.116960525512695,21.13497543334961","0.1117430329322815,0.06876815855503082,0.10181936621665955,0.12494034320116043,0.14743712544441223,0.16516204178333282,0.37410345673561096,0.22142258286476135,0.3260728418827057,0.7136335372924805,0.3989383280277252,0.2889678478240967",86.1328125,"-413.59832763671875,122.81029510498047,28.9455509185791,20.247465133666992,15.889019966125488","0.3349495828151703,0.24055665731430054,0.25092411041259766,0.3182757496833801,0.3729940950870514,0.3516152799129486,0.46079495549201965,0.4325582981109619,0.42842990159988403,0.6469181776046753,0.5196473598480225,0.5422956347465515",86.1328125,
i dont feel part of the world anymore - itssvd.mp3,"-277.76446533203125,104.02315521240234,27.76131248474121,20.593605041503906,15.528635025024414","0.3197857141494751,0.48333603143692017,0.3357585072517395,0.4108571708202362,0.46459493041038513,0.35055258870124817,0.31551453471183777,0.24781817197799683,0.3032785654067993,0.32505008578300476,0.2639043629169464,0.22260794043540955",99.38401442,"-1131.37109375,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",117.4538352,
i dont love me - blackbear.mp3,"-222.41195678710938,146.28761291503906,-8.945760726928711,30.35487937927246,29.34637451171875","0.23094971477985382,0.2570408582687378,0.23242658376693726,0.43371379375457764,0.8110218644142151,0.41798198223114014,0.3014014661312103,0.29421722888946533,0.33540716767311096,0.2873867452144623,0.19486625492572784,0.22938157618045807",135.9991776,"-275.1916809082031,65.10379791259766,-7.257213115692139,8.643068313598633,5.920271873474121","0.10676577687263489,0.11348628997802734,0.1379234939813614,0.44670370221138,0.8026111125946045,0.28476467728614807,0.13825568556785583,0.1788480132818222,0.26495254039764404,0.23935744166374207,0.2731039822101593,0.1893945187330246",143.5546875,spotify:track:7txwhthkLlokKYKdYpGSuW
i dont wanna know - acoustic - GOLDHOUSE.mp3,"-300.274658203125,130.9047088623047,15.305513381958008,26.847225189208984,11.16019058227539","0.16307170689105988,0.1344507783651352,0.197048619389534,0.21931813657283783,0.3769380748271942,0.5729562044143677,0.334570974111557,0.23280605673789978,0.21987390518188477,0.3850461542606354,0.5802590847015381,0.22394408285617828",117.4538352,"-180.23182678222656,53.617645263671875,7.802265167236328,-1.7685229778289795,-8.688733100891113","0.22777490317821503,0.2098969668149948,0.4040476381778717,0.2237657904624939,0.22000925242900848,0.31768566370010376,0.19634142518043518,0.383195161819458,0.3163682520389557,0.4343276619911194,0.4291258156299591,0.2569946050643921",117.4538352,
i dont wanna know - GOLDHOUSE.mp3,"-342.322265625,154.39959716796875,-58.7132453918457,20.579591751098633,-18.363554000854492","0.12508344650268555,0.0357496403157711,0.04374266415834427,0.10085085034370422,0.15947505831718445,0.5502727627754211,0.12978506088256836,0.008772565983235836,0.03256218880414963,0.26920050382614136,0.7910083532333374,0.19533312320709229",117.4538352,"-281.33416748046875,49.0347785949707,-12.507020950317383,-10.42863655090332,-10.190750122070312","0.2549462616443634,0.23286737501621246,0.2748595178127289,0.24428342282772064,0.4181032180786133,0.6725026965141296,0.2552740275859833,0.1821136325597763,0.2524903118610382,0.6310560703277588,0.4798020124435425,0.2019750475883484",123.046875,
i dont want to watch the world end with someone else - Clinton Kane.mp3,"-283.37506103515625,99.72164916992188,21.396738052368164,26.51715660095215,27.928735733032227","0.11178655177354813,0.26447048783302307,0.5447198748588562,0.3723292946815491,0.22774581611156464,0.1927729845046997,0.19626285135746002,0.1750035136938095,0.2515667974948883,0.4430336654186249,0.2612231969833374,0.10984236747026443",151.9990809,"-406.4471435546875,90.359375,12.723700523376465,22.44692039489746,24.169391632080078","0.23024795949459076,0.37263306975364685,0.7768675684928894,0.27173835039138794,0.03702288866043091,0.033899400383234024,0.06085317209362984,0.11540453135967255,0.14884518086910248,0.30119797587394714,0.21053636074066162,0.18058307468891144",117.4538352,
i fall apart - sadeyes.mp3,"-333.7591247558594,137.11920166015625,-52.985233306884766,15.381836891174316,-22.493946075439453","0.26024919748306274,0.18272314965724945,0.17128314077854156,0.20236824452877045,0.30345815420150757,0.1833716183900833,0.35025954246520996,0.4370678663253784,0.30503880977630615,0.4001753032207489,0.39739006757736206,0.5033998489379883",135.9991776,"-788.4522094726562,114.90823364257812,54.47150421142578,40.556514739990234,19.29115104675293","0.7621856331825256,0.4682784974575043,0.2804888188838959,0.24257329106330872,0.317341685295105,0.2056363821029663,0.16079474985599518,0.249920055270195,0.13102100789546967,0.1430530697107315,0.1792258471250534,0.3710003197193146",129.1992188,spotify:track:2rvg3ZXtBRxU0AlbXOqPSP
i hate the weather - Vorsa.mp3,"-321.9559631347656,163.03433227539062,43.286861419677734,22.026622772216797,9.790404319763184","0.19458281993865967,0.055978380143642426,0.04752620309591293,0.18010401725769043,0.4565295875072479,0.1678522378206253,0.0955185517668724,0.17488232254981995,0.3877844512462616,0.3432636559009552,0.33092620968818665,0.6262071132659912",103.359375,"-323.1556091308594,152.74514770507812,20.964702606201172,26.622394561767578,4.427661418914795","0.08655158430337906,0.11020568013191223,0.35307571291923523,0.6244520545005798,0.4341985285282135,0.3779064416885376,0.28046715259552,0.44335487484931946,0.20103369653224945,0.19898051023483276,0.34730157256126404,0.14567048847675323",151.9990809,spotify:track:2EMeWXGkIpAyHRJ7sw88wO
i hate u i love u feat olivia obrien - gnash.mp3,"-261.0583190917969,136.42079162597656,18.900981903076172,17.288541793823242,-1.0177514553070068","0.3125091791152954,0.4729176461696625,0.2188711166381836,0.12159522622823715,0.15501396358013153,0.14286069571971893,0.2514192759990692,0.1529015153646469,0.25456729531288147,0.29035571217536926,0.22041629254817963,0.40840089321136475",112.3471467,"-470.3934631347656,116.51937103271484,25.231380462646484,17.565227508544922,4.131726264953613","0.16965237259864807,0.32871466875076294,0.8777642250061035,0.40280044078826904,0.15356490015983582,0.13682836294174194,0.23994401097297668,0.15325336158275604,0.1537647694349289,0.3436927795410156,0.23163321614265442,0.18783003091812134",117.4538352,
i hope ur miserable until ur dead - Nessa Barrett.mp3,"-141.92124938964844,165.4306182861328,-59.625885009765625,22.653249740600586,-9.314313888549805","0.39121073484420776,0.3478240668773651,0.28379642963409424,0.21544107794761658,0.3029424250125885,0.3498227596282959,0.7250893712043762,0.4027137756347656,0.2027534395456314,0.17706219851970673,0.2994893789291382,0.4777117967605591",112.3471467,"-609.4985961914062,56.27220916748047,-28.539609909057617,-13.950691223144531,-11.948612213134766","0.46314284205436707,0.43674197793006897,0.3995530903339386,0.5204445719718933,0.40154460072517395,0.2672382891178131,0.18756510317325592,0.14579910039901733,0.17413103580474854,0.23596684634685516,0.30332180857658386,0.3786347806453705",135.9991776,spotify:track:4ka1FkKAMde6dQAFFMXKac
i hope ur ok - nll.mp3,"-291.9390869140625,97.97978973388672,-40.032386779785156,-13.434510231018066,-28.97681999206543","0.17641696333885193,0.2664790749549866,0.2382190227508545,0.5205056667327881,0.21676795184612274,0.07042070478200912,0.21680113673210144,0.11065493524074554,0.19809937477111816,0.10939421504735947,0.1620771288871765,0.2983541190624237",112.3471467,"-316.3448486328125,200.4713592529297,-37.66182327270508,4.9050140380859375,-7.837974548339844","0.15346919000148773,0.1942971646785736,0.1644648015499115,0.3557296097278595,0.23015202581882477,0.1778123527765274,0.39604151248931885,0.15211579203605652,0.2776414155960083,0.157013937830925,0.34160304069519043,0.38212716579437256",123.046875,
i might like u - Boon.mp3,"-245.82066345214844,78.28360748291016,-0.8322018980979919,7.40952205657959,6.2947468757629395","0.3460646867752075,0.317198246717453,0.32919973134994507,0.25601711869239807,0.2079153060913086,0.2436455637216568,0.2301008701324463,0.2747229337692261,0.22506475448608398,0.24427486956119537,0.2753538489341736,0.25075316429138184",151.9990809,"-380.9251708984375,70.54814910888672,-27.195634841918945,35.98297882080078,-14.615339279174805","0.20136147737503052,0.15479959547519684,0.18927237391471863,0.1385047882795334,0.12642017006874084,0.1914847195148468,0.11930752545595169,0.14831022918224335,0.11109718680381775,0.17322123050689697,0.28457581996917725,0.2193233072757721",151.9990809,spotify:track:32F2TphKpYNoMGRnepXQvf
i miss u with AuRa - Jax Jones.mp3,"-217.84683227539062,145.17398071289062,18.99345588684082,2.574958562850952,8.057865142822266","0.4418907165527344,0.4337250888347626,0.42683282494544983,0.34680646657943726,0.3690693974494934,0.35699060559272766,0.41708284616470337,0.48376235365867615,0.47493985295295715,0.5496311187744141,0.5995471477508545,0.5216752290725708",117.4538352,"-279.9947204589844,68.93370056152344,17.39342498779297,17.37240219116211,3.1170759201049805","0.5457277297973633,0.5419556498527527,0.5439417362213135,0.5418715476989746,0.5411222577095032,0.560603141784668,0.5810341238975525,0.6018341779708862,0.6363136172294617,0.6216951608657837,0.5833023190498352,0.5851529836654663",123.046875,
i pick loneliness - Munn.mp3,"-197.38108825683594,83.15829467773438,-5.721457004547119,10.2501859664917,3.0557541847229004","0.4553273022174835,0.43361636996269226,0.4802132546901703,0.4844955801963806,0.5141600966453552,0.4566844701766968,0.5142662525177002,0.5172696709632874,0.49255919456481934,0.5300838947296143,0.4749027490615845,0.47853827476501465",129.1992188,"-222.96315002441406,65.0611343383789,12.826610565185547,17.806793212890625,7.224856853485107","0.47780731320381165,0.32811522483825684,0.3700142204761505,0.2856166362762451,0.2679957449436188,0.3144247531890869,0.42659974098205566,0.5238006114959717,0.36170464754104614,0.34442663192749023,0.4223708212375641,0.6294522285461426",129.1992188,spotify:track:4SdoXp42bZe2w5ZFynw8oo
i saw you in a dream - The Japanese House.mp3,"-266.82427978515625,84.8194808959961,-58.29776382446289,8.763704299926758,-15.957695007324219","0.34089139103889465,0.38045230507850647,0.21918413043022156,0.3058170676231384,0.7599520087242126,0.33966392278671265,0.20831477642059326,0.18765267729759216,0.25589820742607117,0.2252400815486908,0.20524802803993225,0.39299818873405457",95.703125,"-364.4563293457031,29.638671875,1.5090538263320923,4.133123397827148,9.516368865966797","0.23098045587539673,0.27686455845832825,0.2531626522541046,0.4161492586135864,0.2699122130870819,0.258894681930542,0.23147034645080566,0.2106470912694931,0.22512391209602356,0.18288083374500275,0.2199046015739441,0.1745753437280655",92.28515625,spotify:track:0U3u0HdRQjD8mAMYBak4Ok
i still think of you - the bootleg boy.mp3,"-395.03179931640625,115.2918930053711,-26.697486877441406,15.140496253967285,-14.3092679977417","0.10035127401351929,0.30054590106010437,0.4449709355831146,0.17483100295066833,0.26861831545829773,0.12202557921409607,0.24628713726997375,0.20465654134750366,0.17052538692951202,0.2546469271183014,0.12888407707214355,0.12783633172512054",117.4538352,"-447.51239013671875,123.78833770751953,18.488849639892578,34.780460357666016,14.164189338684082","0.2873845100402832,0.6046398878097534,0.5544583797454834,0.26420843601226807,0.3333161175251007,0.16332080960273743,0.24197633564472198,0.158827006816864,0.23968921601772308,0.2940939664840698,0.25113117694854736,0.21598578989505768",123.046875,spotify:track:7BrbGr8S8rjrnlGLqtfFwA
i think too much - Christian French.mp3,"-190.84214782714844,97.40354919433594,0.5515878200531006,24.26186752319336,14.014435768127441","0.4201713502407074,0.30198487639427185,0.39021506905555725,0.31683236360549927,0.34474197030067444,0.5041719675064087,0.36891087889671326,0.33927062153816223,0.28430140018463135,0.3847559690475464,0.44282662868499756,0.33263686299324036",184.5703125,"-70.52714538574219,68.71731567382812,-11.432597160339355,19.9567928314209,10.00460147857666","0.4636889398097992,0.3107834458351135,0.3977917730808258,0.32814696431159973,0.3911032974720001,0.5578736662864685,0.42147400975227356,0.45083263516426086,0.4229915142059326,0.5442184209823608,0.5830182433128357,0.410089910030365",92.28515625,spotify:track:6wFqLYmiXyGvprbWa4ogm8
i wanna slam my head against the wall - glaive.mp3,"-288.9012756347656,127.22752380371094,6.763946056365967,8.615351676940918,3.190345525741577","0.7309807538986206,0.6518019437789917,0.582425057888031,0.5829122066497803,0.6116515398025513,0.6772562861442566,0.6586331129074097,0.6568508744239807,0.6288537383079529,0.6108745336532593,0.6366798281669617,0.6603134870529175",135.9991776,"-428.05731201171875,55.15494155883789,13.62693977355957,17.42852210998535,9.109261512756348","0.3446253836154938,0.21822713315486908,0.17772941291332245,0.11985770612955093,0.12657059729099274,0.13464809954166412,0.13922323286533356,0.23826855421066284,0.1541297733783722,0.13547903299331665,0.1532731056213379,0.18603797256946564",123.046875,spotify:track:4dVR8jBG0RQ7jbdi8GRkyd
i was all you needed - Saint Romain.mp3,"-286.496826171875,150.40914916992188,-100.01765441894531,-48.420597076416016,-3.8040716648101807","0.2385758012533188,0.30831536650657654,0.1644594967365265,0.18261191248893738,0.12223028391599655,0.13817821443080902,0.16711099445819855,0.1580764502286911,0.3995600640773773,0.2921825647354126,0.45064496994018555,0.42972761392593384",143.5546875,"-305.5513610839844,109.36100769042969,35.954254150390625,34.20937728881836,16.877399444580078","0.3331588804721832,0.5161179304122925,0.5727353692054749,0.7353464365005493,0.44670987129211426,0.30634981393814087,0.21940883994102478,0.19872324168682098,0.22540582716464996,0.194936141371727,0.2563857436180115,0.35578349232673645",143.5546875,
icarus - glaive.mp3,"-173.8523712158203,93.764404296875,5.957362651824951,9.423600196838379,-10.348637580871582","0.3105567991733551,0.11259207874536514,0.07397478073835373,0.20559149980545044,0.5218980312347412,0.24250900745391846,0.1617690920829773,0.2638096213340759,0.26737844944000244,0.41395825147628784,0.21795392036437988,0.2600843906402588",103.359375,"-209.83447265625,100.98033142089844,9.03314208984375,8.40800952911377,-15.564657211303711","0.4149223268032074,0.31210193037986755,0.6545105576515198,0.35113614797592163,0.29107198119163513,0.18939770758152008,0.18981634080410004,0.1802171915769577,0.2870084345340729,0.37492015957832336,0.2575504779815674,0.42888331413269043",103.359375,spotify:track:5L1eW2bt7pDbjhNLKWKom2
ice cream - dempsey hope.mp3,"-224.6853485107422,112.71363067626953,0.8444156050682068,-6.260284423828125,-3.860088348388672","0.2957027852535248,0.203139990568161,0.22790320217609406,0.29161182045936584,0.36594364047050476,0.48855018615722656,0.3079794943332672,0.34303000569343567,0.2095218151807785,0.24794261157512665,0.2863728702068329,0.252554714679718",117.4538352,"-182.7912139892578,111.34585571289062,-1.5786526203155518,15.06281566619873,10.526294708251953","0.3245263993740082,0.1820739060640335,0.13303720951080322,0.19140298664569855,0.23884092271327972,0.34694167971611023,0.3550966680049896,0.5655756592750549,0.4418698251247406,0.395317405462265,0.40251851081848145,0.26630881428718567",95.703125,spotify:track:0gRGB5zwCHqNmk9kQ2pO7q
idfc - blackbear.mp3,"-320.3180847167969,167.62879943847656,-20.446224212646484,10.204949378967285,-8.473508834838867","0.2704354524612427,0.5509646534919739,0.185284823179245,0.1677202731370926,0.23343487083911896,0.14871196448802948,0.24969825148582458,0.18954667448997498,0.31642577052116394,0.44543853402137756,0.30097177624702454,0.3683459162712097",123.046875,"-1131.37109375,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",117.4538352,spotify:track:6y6jbcPG4Yn3Du4moXaenr
idfc - Tarro Remix - blackbear.mp3,"-306.22259521484375,194.10926818847656,32.40590286254883,-5.319897651672363,9.898757934570312","0.17044837772846222,0.36558952927589417,0.1397646963596344,0.2978256046772003,0.35727444291114807,0.18639129400253296,0.23182396590709686,0.22313936054706573,0.46921566128730774,0.19015617668628693,0.1223350316286087,0.18427737057209015",143.5546875,"-360.7804260253906,164.65203857421875,29.508020401000977,-23.21923065185547,-6.112555980682373","0.14425668120384216,0.2050374150276184,0.10018215328454971,0.20898619294166565,0.40691670775413513,0.1984926164150238,0.17974135279655457,0.22000133991241455,0.3959646224975586,0.12396383285522461,0.10555385798215866,0.3357717990875244",143.5546875,spotify:track:1wsZ0cp5He4Wm4yohNjwIs
if i were a friend - BL EYES.mp3,"-132.8982696533203,142.57977294921875,-58.10285949707031,8.511276245117188,-1.052246332168579","0.7631693482398987,0.6790651679039001,0.5703446269035339,0.5672401785850525,0.5578201413154602,0.5199313163757324,0.5421591997146606,0.5881090760231018,0.6526392698287964,0.6734358668327332,0.7667180299758911,0.7782300114631653",123.046875,"-348.5846862792969,66.51189422607422,32.62600326538086,7.6797590255737305,3.0176868438720703","0.2179596871137619,0.22054697573184967,0.1902092844247818,0.23831872642040253,0.1661471277475357,0.1749299019575119,0.32838010787963867,0.38099557161331177,0.5009251832962036,0.36121320724487305,0.26075029373168945,0.3941631019115448",129.1992188,
if I were u with Lauv - blackbear.mp3,"-222.7583770751953,104.59451293945312,-24.161396026611328,-11.576616287231445,-18.79952621459961","0.4185076653957367,0.2589047849178314,0.1390455663204193,0.1099921464920044,0.08728397637605667,0.1903730183839798,0.11848922073841095,0.2593582272529602,0.4366871118545532,0.2222900539636612,0.3296559453010559,0.25411340594291687",83.35433468,"-325.797119140625,100.01510620117188,-29.097213745117188,12.228606224060059,-22.69078254699707","0.238791823387146,0.1568984091281891,0.2215326577425003,0.5024850368499756,0.1557905524969101,0.17692510783672333,0.17604894936084747,0.34479600191116333,0.7721627950668335,0.29011449217796326,0.26571154594421387,0.1315169483423233",161.4990234,
if we never met - John K.mp3,"-168.3674774169922,83.53443908691406,8.918018341064453,12.224693298339844,13.38690185546875","0.5031840801239014,0.4324169456958771,0.2729716897010803,0.2777298390865326,0.22497989237308502,0.28956151008605957,0.2068507969379425,0.21263593435287476,0.2720472812652588,0.2524651288986206,0.3088243305683136,0.2968948781490326",71.77734375,"-229.0106201171875,90.81654357910156,39.11710739135742,10.301499366760254,16.534372329711914","0.42611008882522583,0.34794676303863525,0.2847154140472412,0.318805992603302,0.2830318510532379,0.3230741322040558,0.2517038583755493,0.30343320965766907,0.6090909838676453,0.4429400563240051,0.33054423332214355,0.3343731164932251",107.6660156,spotify:track:3D2H0RZzOXziswr9UHbpyb
if we never met feat Kelsea Ballerini - John K.mp3,"-206.25750732421875,83.40037536621094,8.34416389465332,12.505005836486816,13.713549613952637","0.4817269742488861,0.42552635073661804,0.2666155695915222,0.2718289792537689,0.21729156374931335,0.2871254086494446,0.2023901641368866,0.2010784149169922,0.2509700059890747,0.23600167036056519,0.27236706018447876,0.27575480937957764",71.77734375,"-279.2061462402344,71.93721008300781,33.47386932373047,6.6086859703063965,14.149815559387207","0.41548463702201843,0.33381327986717224,0.30125072598457336,0.32160040736198425,0.29635849595069885,0.32279038429260254,0.2528097927570343,0.3659652769565582,0.5879954695701599,0.3763265311717987,0.3306436836719513,0.3458455502986908",107.6660156,
ill come back to you feat Sarcastic Sounds  Rxseboy - Powfu.mp3,"-316.2467956542969,111.29267120361328,-36.251277923583984,-11.940727233886719,-8.87113094329834","0.33941277861595154,0.3678961992263794,0.3131057918071747,0.48522624373435974,0.2725197672843933,0.19756481051445007,0.23231849074363708,0.25009140372276306,0.3778170645236969,0.18502159416675568,0.34157565236091614,0.5181406736373901",151.9990809,"-421.8891296386719,109.33352661132812,1.8047350645065308,16.780122756958008,-5.162128448486328","0.27511924505233765,0.11698240041732788,0.12421543151140213,0.3138786256313324,0.30179306864738464,0.15281237661838531,0.148973286151886,0.13963405787944794,0.20447303354740143,0.21015743911266327,0.5163222551345825,0.7335792183876038",151.9990809,
ilyily - Cadence Floria.mp3,"-330.2042541503906,143.00718688964844,-5.624002456665039,-14.083748817443848,-16.139060974121094","0.18202416598796844,0.24529588222503662,0.10509760677814484,0.15118208527565002,0.28819751739501953,0.22001825273036957,0.3752082884311676,0.23369093239307404,0.38005927205085754,0.19231753051280975,0.1988263577222824,0.39300835132598877",117.4538352,"-533.1395263671875,121.027587890625,9.603310585021973,25.246973037719727,-2.352695941925049","0.22593075037002563,0.11527468264102936,0.06913395971059799,0.2564204931259155,0.7437009811401367,0.3748871386051178,0.48575857281684875,0.3364746868610382,0.3243098855018616,0.1818435937166214,0.33435261249542236,0.4662400484085083",117.4538352,spotify:track:4ewiHg0NkG36ky2JT3OwiB
ilym - John K.mp3,"-465.0294494628906,218.38682556152344,57.321537017822266,-20.076847076416016,-5.120886325836182","0.29765966534614563,0.21906732022762299,0.1472015529870987,0.2804814577102661,0.42916685342788696,0.23906724154949188,0.34962233901023865,0.2697838842868805,0.4710468649864197,0.25804319977760315,0.20620395243167877,0.4395647943019867",60.09265988,"-165.81924438476562,127.6882553100586,-1.72694730758667,11.488016128540039,0.6536334156990051","0.28056657314300537,0.29327690601348877,0.20412281155586243,0.4395427703857422,0.5787740349769592,0.3052334785461426,0.36714738607406616,0.36715221405029297,0.5825945734977722,0.38709384202957153,0.24728846549987793,0.29603904485702515",117.4538352,spotify:track:6iT0ZdQcHwzQDNcAC2oDKX
ilym feat ROSIE - John K.mp3,"-484.19232177734375,198.9656982421875,54.63484191894531,-15.896968841552734,-3.365053176879883","0.28933316469192505,0.18086078763008118,0.1293671727180481,0.25726038217544556,0.3908230662345886,0.23130778968334198,0.34231504797935486,0.25530096888542175,0.40813103318214417,0.23380890488624573,0.206709086894989,0.42618653178215027",60.09265988,"-437.55938720703125,29.677907943725586,3.374178886413574,0.8247091770172119,-1.3086726665496826","0.36821678280830383,0.3453686833381653,0.34272047877311707,0.48123690485954285,0.3732922077178955,0.3357450067996979,0.390989750623703,0.5657923817634583,0.7454153299331665,0.5533075928688049,0.3795309066772461,0.37505748867988586",117.4538352,
im fine - Foushe.mp3,"-195.7670440673828,131.40098571777344,-20.689725875854492,14.898641586303711,-5.973008632659912","0.14055950939655304,0.4044513404369354,0.17582976818084717,0.22833123803138733,0.11430743336677551,0.22029395401477814,0.46315398812294006,0.22837276756763458,0.38364046812057495,0.18057578802108765,0.24005655944347382,0.0974704697728157",151.9990809,"-277.3902587890625,91.43208312988281,1.4546765089035034,-10.627592086791992,-14.569365501403809","0.32676804065704346,0.3748420774936676,0.4092324376106262,0.5471242666244507,0.7170827388763428,0.7245906591415405,0.5135617852210999,0.4850531220436096,0.4550606608390808,0.4673614203929901,0.39759671688079834,0.3234737813472748",151.9990809,
im fucked i know - Munn.mp3,"-153.8524627685547,77.69405364990234,17.97991180419922,20.52698516845703,7.531846046447754","0.32666870951652527,0.46751537919044495,0.29651540517807007,0.4230940043926239,0.2191622406244278,0.24103951454162598,0.15357743203639984,0.14630402624607086,0.20176473259925842,0.13718542456626892,0.16209107637405396,0.13682450354099274",123.046875,"-176.8457489013672,59.88007354736328,18.02009391784668,16.985326766967773,5.888333797454834","0.3630041778087616,0.5571016669273376,0.2854854464530945,0.3540059030056,0.18438459932804108,0.19886913895606995,0.1286260485649109,0.10712657868862152,0.16067694127559662,0.11955196410417557,0.2141406387090683,0.1933152675628662",129.1992188,
im glad that you found someone - sad alex.mp3,"-363.5076904296875,140.931884765625,18.980939865112305,-8.505289077758789,-11.19613265991211","0.13785956799983978,0.1496628373861313,0.1467406451702118,0.32990550994873047,0.15796010196208954,0.0797680914402008,0.17395846545696259,0.09974615275859833,0.10297981649637222,0.05621977522969246,0.10218065232038498,0.25687676668167114",112.3471467,"-314.2761535644531,102.40303802490234,18.738237380981445,3.483807325363159,-4.278254508972168","0.18386363983154297,0.13862307369709015,0.14919517934322357,0.3319073021411896,0.18010097742080688,0.08584553003311157,0.1499522477388382,0.10329329967498779,0.10912103205919266,0.10574471205472946,0.2288040965795517,0.40947872400283813",112.3471467,
im so tired - Lauv.mp3,"-232.6060028076172,104.667724609375,-28.726316452026367,1.4239567518234253,-11.175649642944336","0.23559150099754333,0.18131610751152039,0.2312067598104477,0.5338363647460938,0.3117842674255371,0.1760035753250122,0.3279501795768738,0.1742502748966217,0.11450105905532837,0.14810314774513245,0.3671044707298279,0.49263885617256165",135.9991776,"-307.8494873046875,48.44227600097656,14.489197731018066,7.420770645141602,4.851840496063232","0.21339023113250732,0.08490407466888428,0.08200699836015701,0.09464512765407562,0.09472759068012238,0.15121009945869446,0.14656253159046173,0.08519581705331802,0.08867856115102768,0.1348349153995514,0.4737914800643921,0.647725522518158",135.9991776,
im yours sped up - Isabel LaRosa.mp3,"-294.654541015625,185.4658660888672,-65.06402587890625,-9.852567672729492,-0.1913980394601822","0.3881325423717499,0.2185855507850647,0.27861911058425903,0.1859671175479889,0.2657349705696106,0.12980327010154724,0.13567185401916504,0.2653040289878845,0.29612281918525696,0.6395697593688965,0.32760295271873474,0.21178218722343445",123.046875,"-140.7887725830078,104.9013671875,-11.265436172485352,3.804701089859009,-0.537092924118042","0.1398516744375229,0.21053443849086761,0.6675470471382141,0.2798704504966736,0.21764761209487915,0.25532883405685425,0.348163366317749,0.469282329082489,0.4299396872520447,0.5971809029579163,0.30779027938842773,0.152427077293396",129.1992188,
in case you miss me - John K.mp3,"-215.82032775878906,54.032535552978516,-7.333917140960693,13.344486236572266,-24.273971557617188","0.1869373321533203,0.15822890400886536,0.22994522750377655,0.25760751962661743,0.16343143582344055,0.10242307186126709,0.15471309423446655,0.3302764892578125,0.31027355790138245,0.2878332734107971,0.41638490557670593,0.19660356640815735",143.5546875,"-397.14691162109375,104.42321014404297,-33.4323616027832,7.794407367706299,-20.609033584594727","0.369562029838562,0.24667876958847046,0.31721457839012146,0.2797771692276001,0.25631627440452576,0.4270504117012024,0.31188082695007324,0.32852232456207275,0.475861132144928,0.33103132247924805,0.35861292481422424,0.29434093832969666",151.9990809,spotify:track:0NAvBMEfXk1ke0RoR4NPni
in my heart - vowl.mp3,"-277.9548034667969,107.74661254882812,-60.19639205932617,-7.835179805755615,-41.3647346496582","0.19027245044708252,0.1334156095981598,0.25905394554138184,0.2150036096572876,0.5501520037651062,0.2779458463191986,0.24499844014644623,0.45272380113601685,0.2343095988035202,0.19922101497650146,0.10129059106111526,0.12604086101055145",117.4538352,"-161.92416381835938,56.292415618896484,-4.948159694671631,5.359641075134277,-2.9267287254333496","0.21159420907497406,0.17013294994831085,0.16768847405910492,0.31787997484207153,0.8887292146682739,0.47292211651802063,0.29051581025123596,0.33822500705718994,0.2873939275741577,0.2603389024734497,0.2115536630153656,0.24412967264652252",112.3471467,
